Merk	Soort	Percentage_Alcohol	Brouwerij	Periode
Bellegems Witbier	witbier	5,0%	Brouwerij Bockor	2008-heden
Belval	blond	4,8%	Gageleer	2010-2012
Berentemmer	bruin	7%	Brouwerij Maenhout	2011-heden
Bersalis Tripel	blond, hoge gisting, tripel	9,5%	Brouwerij Huyghe voor Brouwerij Oud Beersel	2005-heden
Bersalis Kadet	blond	4,5%	Brouwerij Huyghe voor Brouwerij Oud Beersel	2005-heden
Bertinchamps B+ Blanche	witbier	5%	Brasserie de Bertinchamps	NaN
Bertinchamps B+ Pamplemousse	fruitbier	5,2%	Brasserie de Bertinchamps	NaN
Bertinchamps Blonde	blond	6,2%	Brasserie de Bertinchamps	NaN
Bertinchamps Brune	bruin	7%	Brasserie de Bertinchamps	NaN
Bertinchamps Hiver	winterbier	8%	Brasserie de Bertinchamps	NaN
Bertinchamps Triple	tripel	8%	Brasserie de Bertinchamps	NaN
Beta	donkeramber	6%	Brouwerij Anders! voor Brussels Beer Project	NaN
Betchard Brune	bruin	7%	Brasserie de Tubize	NaN
Betchard Blonde	blond	5,5%	Brasserie de Tubize	NaN
Bieken	blond	8%	Brouwerij Boelens	1993-heden
Bierbeekse	blond-amber, hoge gisting	7,3%	Brouwerij Van Steenberge voor de gemeente Bierbeek en Terclavers	2003-heden
Bierbuik	donker	8%	De Verhuisbrouwerij	1999-?
Bière Darbyste	amber	5,8%	Brasserie de Blaugies	1990-heden
Bière de Beloeil	hoge gisting	8,5%	Brasserie Dupont	1988-heden
Bière de Garde	biologisch, roodbruin	10%	Brouwerij Jessenhofke bij De Proefbrouwerij	2010-heden
Bière de la Bonde	tripel	10%	Brouwerij Van Eecke	1964-heden (e 1991-heden)
Bière de Miel Bio	honingbier	8%	Brouwerij Rimaux-Deridder	1880-1920
Bière de Miel Bio	biologisch, honingbier	8%	Brouwerij Dupont	1997-heden
Bière des Ours (Berenbier)	honingbier	8,5%	Brasserie La Binchoise	1995-heden
Bière du Corsaire Cuvée Spéciale	sterk blond	9,4%	Brouwerij Huyghe	1992-heden
Bière du Mont Saint-Aubert	blond	8%	Brasserie de Brunehaut	1993-heden
Bière Spéciale Belge	Spéciale Belge	5%	Brasserie La Binchoise	2003-heden
Big Bavik	blond	5%	Brouwerij Bavik	NaN
Bierpruver Dubbel Bruin	dubbel	7,5%	Huisbrouwerij de 3 vaten	2011-heden
Bierpruver Tripel	tripel	9%	Huisbrouwerij de 3 vaten	2011-heden
Bierpruver Winter	winterbier	8%	Huisbrouwerij de 3 vaten	?-heden
Big Bayou	met cajunkruiden	4%	Brouwerij Smisje	NaN
Bink Blond	Belgische pale ale	5,5%	Brouwerij Kerkom	1988-heden
Bink Bruin	dubbel	5,5%	Brouwerij Kerkom	NaN
Bink Bloesem	blond	7,1%	Brouwerij Kerkom	2000-heden
Bink Tripel	tripel	9%	Brouwerij Kerkom	2003-heden
Biolégère	biologisch	3,5%	Brouwerij Dupont	1992-heden
Bioloo Amber	biologisch	7,8%	Brouwerij Belgoobeer bij Brouwerij La Binchoise	?-heden
Bioloo Blond	biologisch	6,4%	Brouwerij Belgoobeer bij Brouwerij La Binchoise	?-heden
Bitter Sweet Symphony	dubbele IPA	7,8%	Brouwerij 't Gaverhopke	NaN
Bittere Waarheid	Belgian IPA	11%	Brouwerij Het Alternatief bij Brouwerij De Graal	NaN
Black	donkere ale	6,3%	Brasserie de Bellevaux	?-heden
Black Albert	Belgian Royal Stout	13%	De Struise Brouwers bij Brouwerij Deca	NaN
Black Damnation	Russian Imperial Stout	13%	De Struise Brouwers bij Brouwerij Deca	NaN
Black Damnation I (Albert)	Russian Imperial Stout	13%	De Struise Brouwers bij Brouwerij Deca	NaN
Black Damnation II (Mocha Bomb)	Russian Imperial Stout	12%	De Struise Brouwers bij Brouwerij Deca	NaN
Black Damnation III (Black Mes)	Russian Imperial Stout	13%	De Struise Brouwers bij Brouwerij Deca	NaN
Black Damnation IV (Coffée Club)	Russian Imperial Stout	13%	De Struise Brouwers bij Brouwerij Deca	NaN
Black Damnation V (Double Black)	Russian Imperial Stout, Eisbockmethode	26%	De Struise Brouwers bij Brouwerij Deca	NaN
Black Damnation VI (Messy)	Russian Imperial Stout, Eisbockmethode	39%	De Struise Brouwers bij Brouwerij Deca	NaN
Black Damnation VII (Single Black)	Russian Imperial Stout, Eisbockmethode	2%	De Struise Brouwers bij Brouwerij Deca	NaN
Black Damnation VIII (S.H.I.T))	Russian Imperial Stout	12%	De Struise Brouwers bij Brouwerij Deca	NaN
Black Damnation IX (Beggars' Art)	Russian Imperial Stout	19,1%	De Struise Brouwers bij Brouwerij Deca	NaN
Black Damnation X (Double Wood)	Russian Imperial Stout	15%	De Struise Brouwers bij Brouwerij Deca	NaN
Black Damnation XI (Special Kay)	Russian Imperial Stout, Eisbockmethode	22%	De Struise Brouwers bij Brouwerij Deca	NaN
Black Damnation XII (Nuptiale A2)	Russian Imperial Stout	13%	De Struise Brouwers bij Brouwerij Deca	NaN
Black Damnation XIII (More anger)	Russian Imperial Stout	13,5%	De Struise Brouwers bij Brouwerij Deca	2013-heden
Black Damnation XIV (Talisman)	Russian Imperial Stout	13%	De Struise Brouwers bij Brouwerij Deca	2013-heden
Black Damnation XV (Drone)	Russian Imperial Stout, Eisbockmethode	13%	De Struise Brouwers bij Brouwerij Deca	2013-heden
Black Damnation XVI (Ivan the Terrible)	Russian Imperial Stout, Eisbockmethode	13%	De Struise Brouwers bij Brouwerij Deca	2013-heden
Black Damnation XVII (Ben)	Russian Imperial Stout, Eisbockmethode	13%	De Struise Brouwers bij Brouwerij Deca	2013-heden
Black Damnation XVIII (Major Tom)	Russian Imperial Stout, Eisbockmethode	13%	De Struise Brouwers bij Brouwerij Deca	2013-heden
Black Damnation XIX (Maestro)	Russian Imperial Stout, Eisbockmethode	13%	De Struise Brouwers bij Brouwerij Deca	2013-heden
Black Damnation XX (Ma Boule)	Russian Imperial Stout, Eisbockmethode	13%	De Struise Brouwers bij Brouwerij Deca	2013-heden
Black Damnation XXI (Black Mes SR)	Russian Imperial Stout, Eisbockmethode	13%	De Struise Brouwers bij Brouwerij Deca	2013-heden
Black Damnation XXII (Willy)	Russian Imperial Stout, Eisbockmethode	13%	De Struise Brouwers bij Brouwerij Deca	2013-heden
Black Ghost	hoge gisting	8%	Brasserie Fantôme	?-heden
Black Hole	pils	5,6%	Brouwerij Roman	2005-heden
Black Jack	Porter	7%	De Struise Brouwers bij Brouwerij Deca	NaN
Blanche	witbier	4,8%	Brasserie de Bellevaux	?-heden
Blanche d'Ardenne	witbier	4,3%	Brasserie du Bocq voor Corsendonk nv	?-heden
Blanche de Bouillon	witbier	5,5%	Brasserie de Bouillon	?-heden
Blanche de Brabant	witbier	5%	Groep John Martin	?-heden
Blanche de Bruxelles	witbier	4,5%	Brouwerij Lefebvre	1989-heden
Blanche de Charleroi	witbier	5%	Brasserie Val de Sambre	2000-heden
Blanche de Francorchamps	witbier	4,5%	Brouwerij Lefebvre	1989-heden
Blanche de Namur	witbier	5,2%	Brasserie du Bocq	?-heden
Blanche de Tubize	witbier	4,8%	Brasserie de Tubize	?-heden
Blanche de Quenast	witbier	4,5%	Brouwerij Lefebvre	1989-heden
Blanche de Noel	witbier	?%	Brasserie de Bocq	?-?
Blanche des Honnelles	witbier	6%	Brasserie de l'Abbaye des Rocs	1991-heden
Blanche de Liège	witbier	?%	Brouwerij Val-Dieu	?-?
Blanche de Liege Rosée	witbier	?%	Brouwerij Val-Dieu	?-?
Blanche des Neiges	witbier	5%	Brouwerij Huyghe	1990-heden
Blanche du Hainaut Bio	witbier, biologisch	5,5%	Brouwerij Dupont	1999-heden
Blanchette de Gaume	witbier	5%	Brasserie Millevertus	NaN
Blanchette de Lorraine	witbier, fruitbier	5%	Brasserie Millevertus	2005-heden
BLAUW	pils, Export	5,2%	Brouwerij Bockor	NaN
Blauwersbier	mengbier	6,5%	Brouwerij Van Eecke	NaN
Bleeken Moriaen	tripel	10%	Brouwerij Van Eecke	1964-heden (e ?-heden)
Blegny-Mine Bière des Hertcheûses	NaN	?%	Brouwerij Val-Dieu	?-?
Blesbier	NaN	?%	Brouwerij Meesters	?-?
Blinde Mol	blond	6,5%	Brouwerij Maenhout bij Brouwerij Gulden Spoor	NaN
Bloemenbier	Belgian Strong Ale	7%	De Proefbrouwerij	NaN
Bloesem Kriek	kriek	4,5%	Brouwerij Kerkom	2012-heden
Blonde	blond	7%	Brasserie de Bellevaux	?-heden
Blonde	blond, lage gisting	1,2%	Brouwerij Haacht	NaN
Blonde Bie	blond	8%	Brouwerij De Bie	?-heden
Blonde Devaux	NaN	?%	Brasserie Devaux	?-?
Blonde Stoot	blond	5%	Brouwerij Anders! voor Bieren Cabardouche	2012-heden
Blonde de Brabant	blond	6%	Groep John Martin	NaN
Blonde de Noël	blond	10%	Brasserie Caulier	NaN
Blondelle	blond	7%	't Hofbrouwerijke	?-heden
Blondine	blond	8%	Brouwerij Van Steenberge voor Hopduvel Gent	?-heden
Blondine IPA	IPA	8%	Brouwerij De Graal voor Hopduvel Gent	2012-heden
Bloody Belgium	blond	6,5%	NaN	2017-heden
Blusser	pils	5%	Brouwerij Het Anker	1998-2009
Bock Leroy	tafelbier	1,8%	Brouwerij Het Sas	?-heden
Bock Pils	pils	5,2%	Brouwerij Palm	?-heden
Bockor Pils	lage gisting, pils	5,2%	Brouwerij Bockor	?-heden
Bocq Christmas	kerstbier	8,1%	Brasserie Du Bocq	NaN
